Id;LotArea;YearBuilt;BedroomAbvGr;GarageCars;GarageArea;SalePrice
1;8450;2003;3;2;548;208500
2;9600;1976;3;2;460;181500
3;11250;2001;3;2;608;223500
4;9550;1915;3;3;642;140000
5;14260;2000;4;3;836;250000
6;14115;1993;1;2;480;143000
7;10084;2004;3;2;636;307000
8;10382;1973;3;2;484;200000
9;6120;1931;2;2;468;129900
10;7420;1939;2;1;205;118000
11;11200;1965;3;1;384;129500
12;11924;2005;4;3;736;345000
13;12968;1962;2;1;352;144000
14;10652;2006;3;3;840;279500
15;10920;1960;2;1;352;157000
16;6120;1929;2;2;576;132000
17;11241;1970;2;2;480;149000
18;10791;1967;2;2;516;90000
19;13695;2004;3;2;576;159000
20;7560;1958;3;1;294;139000
21;14215;2005;4;3;853;325300
22;7449;1930;3;1;280;139400
23;9742;2002;3;2;534;230000
24;4224;1976;3;2;572;129900
25;8246;1968;3;1;270;154000
26;14230;2007;3;3;890;256300
27;7200;1951;3;2;576;134800
28;11478;2007;3;3;772;306000
29;16321;1957;2;1;319;207500
30;6324;1927;1;1;240;68500
31;8500;1920;3;1;250;40000
32;8544;1966;3;1;271;149350
33;11049;2007;3;2;484;179900
34;10552;1959;4;2;447;165500
35;7313;2005;2;2;556;277500
36;13418;2004;4;3;691;309000
37;10859;1994;3;2;672;145000
38;8532;1954;3;2;498;153000
39;7922;1953;3;1;246;109000
40;6040;1955;2;0;0;82000
41;8658;1965;3;2;440;160000
42;16905;1959;2;1;308;170000
43;9180;1983;2;2;504;144000
44;9200;1975;3;1;308;130250
45;7945;1959;3;1;300;141000
46;7658;2005;2;2;576;319900
47;12822;2003;1;2;670;239686
48;11096;2006;3;3;826;249700
49;4456;1920;2;0;0;113000
50;7742;1966;3;1;386;127000
51;13869;1997;3;2;388;177000
52;6240;1934;3;2;528;114500
53;8472;1963;2;2;516;110000
54;50271;1981;0;3;894;385000
55;7134;1955;3;2;572;130000
56;10175;1964;3;2;576;180500
57;2645;1999;3;2;480;172500
58;11645;2004;3;2;565;196500
59;13682;2006;3;3;641;438780
60;7200;1972;2;1;352;124900
61;13072;2004;3;2;576;158000
62;7200;1920;3;1;288;101000
63;6442;2006;2;2;484;202500
64;10300;1921;3;2;480;140000
65;9375;1997;3;2;645;219500
66;9591;2004;4;3;852;317000
67;19900;1970;3;2;576;180000
68;10665;2003;3;2;558;226000
69;4608;1945;2;1;220;80000
70;15593;1953;3;2;667;225000
71;13651;1973;3;2;516;244000
72;7599;1982;2;2;360;129500
73;10141;1998;3;2;427;185000
74;10200;1954;3;2;490;144900
75;5790;1915;3;1;379;107400
76;1596;1973;2;1;297;91000
77;8475;1956;2;1;283;135750
78;8635;1948;2;1;240;127000
79;10778;1968;4;0;0;136500
80;10440;1910;2;2;440;110000
81;13000;1968;4;1;509;193500
82;4500;1998;2;2;405;153500
83;10206;2007;3;3;758;245000
84;8892;1960;3;2;461;126500
85;8530;1995;3;2;400;168500
86;16059;1991;4;2;462;260000
87;11911;2005;3;2;400;174000
88;3951;2009;2;2;528;164500
89;8470;1915;2;0;0;85000
90;8070;1994;3;0;0;123600
